epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.268,1.34169,2.64337,1.67362,0.32745,0.30961,0.22665,0.12051,2.03657,2.45005,2.57274,0.000554461,0.000554461,0.000554461
2,327.98,1.56013,2.2117,1.81219,0.18112,0.49674,0.19044,0.09478,1.88798,2.61197,2.34041,0.00108815,0.00108815,0.00108815
3,485.545,1.53203,2.11716,1.77646,0.28769,0.48261,0.34349,0.17943,1.69191,2.25085,2.18819,0.00159983,0.00159983,0.00159983
4,641.205,1.41928,1.99197,1.69126,0.41986,0.45299,0.40689,0.24154,1.64044,1.97048,2.19662,0.00156798,0.00156798,0.00156798
5,796.104,1.37255,1.86076,1.63575,0.35434,0.54247,0.43676,0.28356,1.41115,1.74768,1.91755,0.00153497,0.00153497,0.00153497
6,950.434,1.31599,1.76165,1.60097,0.4235,0.58462,0.48363,0.31256,1.37499,1.71208,1.88229,0.00150197,0.00150197,0.00150197
7,1105.43,1.26196,1.66367,1.55366,0.60769,0.5482,0.60846,0.40093,1.28292,1.38401,1.77209,0.00146896,0.00146896,0.00146896
8,1260.73,1.22212,1.60637,1.5194,0.55384,0.58102,0.6177,0.43524,1.20795,1.3151,1.67681,0.00143595,0.00143595,0.00143595
9,1415.89,1.18398,1.5279,1.48502,0.53821,0.66522,0.64212,0.43202,1.25978,1.25954,1.76518,0.00140295,0.00140295,0.00140295
10,1570.6,1.14769,1.48258,1.45683,0.63883,0.56262,0.64501,0.4354,1.19559,1.36745,1.67369,0.00136994,0.00136994,0.00136994
11,1725.47,1.13584,1.45028,1.45726,0.65547,0.65499,0.70713,0.50688,1.08392,1.20507,1.59134,0.00133693,0.00133693,0.00133693
12,1880.34,1.10729,1.418,1.42724,0.64196,0.69635,0.73188,0.52867,1.02236,1.1434,1.52201,0.00130393,0.00130393,0.00130393
13,2035.25,1.07053,1.34779,1.40309,0.68132,0.72631,0.75593,0.56161,1.03352,1.09179,1.52268,0.00127092,0.00127092,0.00127092
14,2191.5,1.05935,1.33261,1.39201,0.70606,0.68018,0.74093,0.55152,1.00595,1.05209,1.51519,0.00123791,0.00123791,0.00123791
15,2345.71,1.02678,1.28084,1.36775,0.70766,0.64048,0.75734,0.5553,0.98569,1.03082,1.46555,0.00120491,0.00120491,0.00120491
16,2499.31,1.02245,1.2889,1.36766,0.76163,0.70485,0.79975,0.5918,0.94579,0.96225,1.44361,0.0011719,0.0011719,0.0011719
17,2652.97,0.99631,1.24233,1.34691,0.71298,0.71644,0.78357,0.59855,0.91698,0.92336,1.40524,0.00113889,0.00113889,0.00113889
18,2807.32,0.98209,1.21455,1.33988,0.7392,0.71931,0.79744,0.62089,0.90696,0.89739,1.38398,0.00110589,0.00110589,0.00110589
